fii_name,property_name,state,area,date_process
VISC11,ILHA PLAZA SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 21.933,00 m²",2024-11-09
VISC11,SHOPPING PARALELA,Estado: Bahia,"Área bruta locável: 40.167,00 m²",2024-11-09
VISC11,MINAS SHOPPING,Estado: Minas Gerais,"Área bruta locável: 45.861,00 m²",2024-11-09
VISC11,SHOPPING PÁTIO BELÉM,Estado: Pará,"Área bruta locável: 21.727,00 m²",2024-11-09
VISC11,PRUDENSHOPPING,Estado: São Paulo,"Área bruta locável: 31.108,00 m²",2024-11-09
VISC11,SHOPPING PRAIA DA COSTA,Estado: Espírito Santo,"Área bruta locável: 39.765,00 m²",2024-11-09
VISC11,RIBEIRÃOSHOPPING,Estado: São Paulo,"Área bruta locável: 74.988,00 m²",2024-11-09
VISC11,SHOPPING TACARUNA,Estado: Pernambuco,"Área bruta locável: 49.898,00 m²",2024-11-09
VISC11,SHOPPING ABC,Estado: São Paulo,"Área bruta locável: 48.017,00 m²",2024-11-09
VISC11,WEST SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 44.234,00 m²",2024-11-09
VISC11,NORTH SHOPPING MARACANAÚ,Estado: Ceará,"Área bruta locável: 20.001,81 m²",2024-11-09
VISC11,VILLA ROMANA,Estado: Santa Catarina,"Área bruta locável: 22.438,81 m²",2024-11-09
VISC11,SHOPPING BOULEVARD,Estado: Rio de Janeiro,"Área bruta locável: 28.948,08 m²",2024-11-09
VISC11,PANTANAL SHOPPING,Estado: Mato Grosso,"Área bruta locável: 45.222,15 m²",2024-11-09
VISC11,SHOPPING PORTO VELHO,Estado: Rondônia,"Área bruta locável: 44.824,38 m²",2024-11-09
VISC11,SHOPPING CONJUNTO NACIONAL,Estado: Distrito Federal,"Área bruta locável: 43.271,00 m²",2024-11-09
VISC11,VIA SUL SHOPPING,Estado: Ceará,"Área bruta locável: 26.018,00 m²",2024-11-09
VISC11,SHOPPING CRYSTAL,Estado: Paraná,"Área bruta locável: 15.140,00 m²",2024-11-09
VISC11,SHOPPING ESTAÇÃO,Estado: Paraná,"Área bruta locável: 49.869,00 m²",2024-11-09
VISC11,NATAL SHOPPING,Estado: Rio Grande do Norte,"Área bruta locável: 28.332,00 m²",2024-11-09
VISC11,MADUREIRA SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 37.021,00 m²",2024-11-09
VISC11,CAMPINAS SHOPPING,Estado: São Paulo,"Área bruta locável: 36.165,00 m²",2024-11-09
VISC11,SHOPPING PLAZA SUL,Estado: São Paulo,"Área bruta locável: 28.054,00 m²",2024-11-09
VISC11,BANGU SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 57.982,00 m²",2024-11-09
VISC11,SHOPPING VILLAGIO CAXIAS,Estado: Rio Grande do Sul,"Área bruta locável: 29.685,00 m²",2024-11-09
VISC11,CARIOCA SHOPPING,Estado: Rio de Janeiro,"Área bruta locável: 33.918,00 m²",2024-11-09
VISC11,SHOPPING SÃO LUIS,Estado: Maranhão,"Área bruta locável: 56.084,00 m²",2024-11-09
XPLG11,CENTRO LOGÍSTICO CAJAMAR,Estado: São Paulo,"Área bruta locável: 125.555,00 m²",2024-11-09
XPLG11,CD DIA%,Estado: São Paulo,"Área bruta locável: 30.345,00 m²",2024-11-09
XPLG11,CONDOMÍNIO MULTIMODAL 1,Estado: Pernambuco,"Área bruta locável: 183.052,00 m²",2024-11-09
XPLG11,CD DIA% RIBEIRÃO,Estado: São Paulo,"Área bruta locável: 21.136,00 m²",2024-11-09
XPLG11,CD LEROY,Estado: São Paulo,"Área bruta locável: 131.558,00 m²",2024-11-09
XPLG11,CD PANASONIC,Estado: Minas Gerais,"Área bruta locável: 38.309,00 m²",2024-11-09
XPLG11,SYSLOG GALEÃO,Estado: Rio de Janeiro,"Área bruta locável: 29.087,00 m²",2024-11-09
XPLG11,CENTRO DE DISTRIBUIÇÃO RENNER,Estado: Santa Catarina,"Área bruta locável: 59.756,00 m²",2024-11-09
XPLG11,CENTRO DE DISTRIBUIÇÃO VIA VAREJO,Estado: Rio Grande do Sul,"Área bruta locável: 38.410,00 m²",2024-11-09
XPLG11,SANTANA BUSINESS PARK,Estado: São Paulo,"Área bruta locável: 50.181,00 m²",2024-11-09
XPLG11,CENTRO DE DISTRIBUIÇÃO UNILEVER,Estado: Pernambuco,"Área bruta locável: 25.583,00 m²",2024-11-09
XPLG11,CD B2W,Estado: Rio de Janeiro,"Área bruta locável: 82.049,00 m²",2024-11-09
XPLG11,CD MERCADO LIVRE,Estado: São Paulo,"Área bruta locável: 66.377,00 m²",2024-11-09
XPLG11,HGLG WL,Estado: Rio de Janeiro,"Área bruta locável: 23.541,00 m²",2024-11-09
XPLG11,CD PANASONIC,Estado: Minas Gerais,"Área bruta locável: 23.454,00 m²",2024-11-09
XPLG11,CENTRO DE DISTRIBUIÇÃO GRAVATAÍ,Estado: Rio Grande do Sul,"Área bruta locável: 105.271,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - ANGÉLICA,Estado: São Paulo,"Área bruta locável: 2.479,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - VILA LEOPOLDINA,Estado: São Paulo,"Área bruta locável: 2.141,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - SABARÁ,Estado: São Paulo,"Área bruta locável: 7.252,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - ABILIO SOARES,Estado: São Paulo,"Área bruta locável: 3.540,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - SANTO ANDRÉ,Estado: São Paulo,"Área bruta locável: 2.141,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - CAMPINAS,Estado: São Paulo,"Área bruta locável: 2.895,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - PARÓQUIA,Estado: Rio de Janeiro,"Área bruta locável: 5.439,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - BÚZIOS,Estado: Rio de Janeiro,"Área bruta locável: 2.786,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - BRASÍLIA,Estado: Distrito Federal,"Área bruta locável: 2.994,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - BRASÍLIA,Estado: Distrito Federal,"Área bruta locável: 3.660,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - GOIÂNIA,Estado: Goiás,"Área bruta locável: 6.130,00 m²",2024-11-09
GARE11,MATEUS - MACEIÓ,Estado: Alagoas,"Área bruta locável: 14.794,00 m²",2024-11-09
GARE11,MATEUS - MACEIÓ,Estado: Alagoas,"Área bruta locável: 11.637,00 m²",2024-11-09
GARE11,PÃO DE AÇÚCAR - JACOBINA,Estado: Bahia,"Área bruta locável: 12.850,00 m²",2024-11-09
GARE11,MATEUS - CONCEIÇÃO DO COITÉ,Estado: Bahia,"Área bruta locável: 7.693,00 m²",2024-11-09
GARE11,MATEUS - ITABUNA,Estado: Bahia,"Área bruta locável: 7.316,00 m²",2024-11-09
GARE11,MATEUS - VITÓRIA DA CONQUISTA,Estado: Bahia,"Área bruta locável: 12.810,00 m²",2024-11-09
GARE11,MATEUS - CAJAZEIRAS,Estado: Paraíba,"Área bruta locável: 7.900,00 m²",2024-11-09
GARE11,MATEUS - SOUSA,Estado: Paraíba,"Área bruta locável: 6.307,00 m²",2024-11-09
GARE11,MATEUS - TIMON,Estado: Maranhão,"Área bruta locável: 15.643,00 m²",2024-11-09
GARE11,AIR LIQUIDE - SÃO JOSÉ DOS CAMPOS,Estado: São Paulo,"Área bruta locável: 17.800,00 m²",2024-11-09
GARE11,AIR LIQUIDE - CANOAS,Estado: Rio Grande do Sul,"Área bruta locável: 7.000,00 m²",2024-11-09
GARE11,BRF VISA - VITÓRIA DE SANTO ANTÃO,Estado: Pernambuco,"Área bruta locável: 30.694,00 m²",2024-11-09
GARE11,ALMANARA - JANDIRA,Estado: São Paulo,"Área bruta locável: 5.409,00 m²",2024-11-09
