fii_name,fii_type,date_process
HUCG11,Fii,2024-11-09
DPRO11,Fii,2024-11-09
RMAI11,Fii,2024-11-09
NCRI11,Fii,2024-11-09
VOTS11,Fii,2024-11-09
KNOX11,Fii,2024-11-09
TJKB11,Fii,2024-11-09
PEMA11,Fii,2024-11-09
HPDP11,Fii,2024-11-09
ELDO11B,Fii,2024-11-09
DAMT11B,Fii,2024-11-09
FPAB11,Fii,2024-11-09
PLRI11,Fii,2024-11-09
KOPA11,Fii,2024-11-09
MFAI11,Fii,2024-11-09
PBLV11,Fii,2024-11-09
HUSI11,Fii,2024-11-09
BICR11,Fii,2024-11-09
EXES11,Fii,2024-11-09
HBRH11,Fii,2024-11-09
TMPS11,Fii,2024-11-09
HRDF11,Fii,2024-11-09
RBRM11,Fii,2024-11-09
DRIT11B,Fii,2024-11-09
BTSG11,Fii,2024-11-09
VVPR11,Fii,2024-11-09
HGIC11,Fii,2024-11-09
FPNG11,Fii,2024-11-09
RBIR11,Fii,2024-11-09
VLOL11,Fii,2024-11-09
FINF11,Fii,2024-11-09
SAPI11,Fii,2024-11-09
BRLA11,Fii,2024-11-09
GCFF11,Fii,2024-11-09
RBBV11,Fii,2024-11-09
GESE11B,Fii,2024-11-09
HDEL11,Fii,2024-11-09
KEVE11,Fii,2024-11-09
BLCP11,Fii,2024-11-09
EGYR11,Fii,2024-11-09
CPOF11,Fii,2024-11-09
VVRI11,Fii,2024-11-09
RECX11,Fii,2024-11-09
RBRS11,Fii,2024-11-09
RBDS11,Fii,2024-11-09
QAMI11,Fii,2024-11-09
REIT11,Fii,2024-11-09
BICE11,Fii,2024-11-09
HAAA11,Fii,2024-11-09
OGHY11,Fii,2024-11-09
CTXT11,Fii,2024-11-09
MCFF11,Fii,2024-11-09
PICE11,Fii,2024-11-09
FAMB11B,Fii,2024-11-09
BREV11,Fii,2024-11-09
MCEM11,Fii,2024-11-09
RTEL11,Fii,2024-11-09
EDFO11,Fii,2024-11-09
CJCT11,Fii,2024-11-09
PNCR11,Fii,2024-11-09
WSEC11,Fii,2024-11-09
PMIS11,Fii,2024-11-09
JASC11,Fii,2024-11-09
SMRE11,Fii,2024-11-09
SIGR11,Fii,2024-11-09
ARXD11,Fii,2024-11-09
EDFO11B,Fii,2024-11-09
CCRF11,Fii,2024-11-09
SRVD11,Fii,2024-11-09
SHDP11B,Fii,2024-11-09
CPLG11,Fii,2024-11-09
BLUR11,Fii,2024-11-09
FISC11,Fii,2024-11-09
RCFA11,Fii,2024-11-09
RENV11,Fii,2024-11-09
OBAL11,Fii,2024-11-09
PNRC11,Fii,2024-11-09
TOUR11,Fii,2024-11-09
